incident_id,category,event_count,threat_level,rank_1,rank_2,rank_3,rank_4,rank_5,finetuned_cause_score,gpt_4o_cause_score,gpt_4o_mini_cause_score,qwen25_15b_cause_score,qwen25_3b_cause_score,finetuned_risk_score,gpt_4o_risk_score,gpt_4o_mini_risk_score,qwen25_15b_risk_score,qwen25_3b_risk_score,finetuned_position,gpt_4o_position,gpt_4o_mini_position,qwen25_15b_position,qwen25_3b_position
05d41bc8-f429-41ae-a45f-334de54e2ed0,Malware,122,15.350000000000001,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 1.5B,Qwen2.5 3B,17,20,20,17,7,12,15,10,11,10,3,1,2,4,5
0e7511c8-4565-4f54-aa04-68daf53d6aff,Malware,3757,15.000000000000004,GPT-4o-mini,Qwen2.5 1.5B,GPT-4o,Qwen2.5 3B,Finetuned,11,19,23,13,10,11,9,10,18,13,5,3,1,2,4
11200afd-8dac-4314-818a-5e778864d94b,Malware,94,15.35,Finetuned,GPT-4o-mini,Qwen2.5 1.5B,GPT-4o,Qwen2.5 3B,22,18,18,20,11,15,11,12,10,13,1,4,2,3,5
178945c8-5e6d-4a58-b268-f3a592627504,Malware,4666,15.080000000000005,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 3B,Qwen2.5 1.5B,10,20,22,9,11,11,20,17,4,8,3,1,2,5,4
19561f12-3209-4afb-938f-8ca4c1be4ee6,Malware,132,15.350000000000001,Finetuned,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,24,16,19,9,7,14,17,11,8,13,1,2,3,5,4
1d4ee1b3-df0f-4483-886e-ab8b5ffca477,Malware,116,15.350000000000001,Finetuned,GPT-4o-mini,GPT-4o,Qwen2.5 1.5B,Qwen2.5 3B,22,15,19,10,13,15,13,11,9,6,1,3,2,4,5
1ea0a1a2-bec7-46a0-9990-53ac0a943e50,Malware,85,15.100000000000001,GPT-4o-mini,GPT-4o,Finetuned,Qwen2.5 1.5B,Qwen2.5 3B,19,19,22,13,10,13,15,12,16,10,3,2,1,4,5
1f0cb5a9-2c53-4e25-833f-39989f396c3a,Malware,96,15.150000000000002,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 1.5B,Qwen2.5 3B,14,23,17,10,9,16,21,13,19,12,3,1,2,4,5
20c9c604-96d1-49e1-9a97-e8a3566486a5,Malware,139,15.4,GPT-4o-mini,Finetuned,GPT-4o,Qwen2.5 1.5B,Qwen2.5 3B,16,15,18,14,10,0,0,0,0,0,2,3,1,4,5
2270797e-b4e6-48a4-b43a-d2bc56c5e679,Malware,2586,15.080000000000005,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 3B,Qwen2.5 1.5B,13,23,19,3,9,13,19,14,9,13,3,1,2,5,4
230b97be-1b4b-4db1-9260-b3881d4f7340,Malware,147,15.25,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,18,20,16,12,7,14,14,15,10,7,2,1,3,4,5
27c08877-ebbd-4ee4-907b-bea0a16317d5,Malware,299,15.160000000000005,Finetuned,GPT-4o,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,16,22,13,9,8,17,10,10,12,7,1,2,3,4,5
2c2e040b-45d4-4113-9490-d7d4b248e782,Malware,95,15.100000000000001,GPT-4o-mini,Finetuned,GPT-4o,Qwen2.5 1.5B,Qwen2.5 3B,19,17,23,16,10,19,16,15,10,12,2,3,1,4,5
2f034815-a051-4bc8-9e14-6c0d28333a22,Malware,28,15.36000000000001,GPT-4o-mini,GPT-4o,Finetuned,Qwen2.5 1.5B,Qwen2.5 3B,21,23,21,11,7,13,12,18,11,15,3,2,1,4,5
33ba1f1a-39d2-4b50-a7d9-8d96eafd8e7c,Malware,4345,15.160000000000004,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 1.5B,Qwen2.5 3B,12,25,20,6,4,10,12,16,12,11,3,1,2,4,5
372a0467-e6a7-447e-917c-6b77cef21a8e,Malware,966,15.600000000000005,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,20,24,19,7,11,16,18,15,10,12,2,1,3,5,4
39155418-d318-4f5a-80cd-d604c91eddce,Malware,868,15.080000000000005,Finetuned,GPT-4o-mini,GPT-4o,Qwen2.5 3B,Qwen2.5 1.5B,22,17,21,9,10,20,18,15,7,13,1,3,2,5,4
3b73a910-8dd5-43fa-8409-d17010ea183e,Malware,83,15.100000000000001,Finetuned,GPT-4o,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,21,21,16,11,9,11,11,13,17,16,1,2,3,4,5
464970ed-8397-4717-ab48-1d630e0dded6,Malware,2604,15.000000000000005,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 1.5B,Qwen2.5 3B,14,25,20,16,7,13,17,18,8,17,3,1,2,4,5
4dd6b15c-6a69-46f0-96e3-7a196bde86d4,Malware,98,15.350000000000001,Finetuned,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,22,22,21,9,12,19,16,15,7,15,1,2,3,5,4
4e99f27e-1ea8-4488-8d5c-66da6fcd8226,Malware,71,15.350000000000001,GPT-4o-mini,Finetuned,GPT-4o,Qwen2.5 3B,Qwen2.5 1.5B,17,14,21,9,12,16,13,16,9,12,2,3,1,5,4
50b80b6b-017c-482a-864b-c4f4aacb8404,Malware,32,15.0,Finetuned,GPT-4o-mini,Qwen2.5 1.5B,GPT-4o,Qwen2.5 3B,18,16,15,8,11,15,9,12,18,8,1,4,2,3,5
546b73c7-71dd-48da-80e5-1d20cc96cc74,Malware,3612,15.400000000000006,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 3B,Qwen2.5 1.5B,13,18,17,11,3,14,17,17,10,19,3,1,2,5,4
